,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Sexuality Studies,0.00010322139115460906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8922434322077832,0.0,0.0,0.0,0.0
Data Visualization and Interpretation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3367261368813779,0.0,0.0,0.0,0.5120023436027916,0.0,0.0,0.0,0.0,0.0,0.00890287305886977,0.0
Systems Integration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.803672919401397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cryptography and Information Security (Introduction),0.0,0.0,0.0,0.0,0.0,2.0925825143073326e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.22843879676832007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Post-Colonialism and Global Inequality,0.0,0.0,0.0,0.0,0.06870624370127783,0.0,1.7406836117190203e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Network Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3967808052753554,0.0,0.0,0.0
Digital System Simulation and Testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41484524828385
Cyber Threat Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3288669802800847e-45,0.0,0.0,0.0,0.0,0.5725484912657234,0.0,0.0,0.0
Adventure Program Design and Implementation,0.0,0.0,0.0,0.0,0.009338951742673539,0.0,0.0,1.833732077599565e-148,0.0,0.0,1.1584172035402052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Data Structures Implementation (e.g., Arrays, Linked Lists, Trees)",0.0,1.0227701203358457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
User-Centered Design (UCD) and Human-Computer Interaction (HCI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7399901246895764,0.0,0.0,0.0,0.0,0.0
Experimental and Observational Studies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0008298648675553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.654905561922708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthesis of Digital Circuits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41484524828385
"JavaScript Libraries (e.g., jQuery)",0.0,0.0,1.6213666066297847e-80,0.00023992762803108316,0.0,0.0,0.0,0.0,0.0,0.008815203816781482,0.003531248565832199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.600458058538837e-05
Educational Facilitation in Communities,0.0,0.0,2.2915630015410606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cybersecurity Operations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3288669802800847e-45,0.0,0.0,0.0,0.0,0.5725484912657234,0.0,0.0,0.0
